identifiant interne,libellé,type d'établissement,secteur d'établissement,X,Y,Commune,Unité urbaine,Code commune
G8QBG,Sciences Po Aix,Autre établissement,public,5.44663,43.53146,Aix-en-Provence,Marseille,13001
DOunC,Sciences Po Bordeaux,Autre établissement,public,-0.61409,44.79886,Pessac,Bordeaux,33318
15kV5,"Institut national du sport, de l'expertise et de la performance",Grand établissement,public,2.454103231430054,48.833495221568754,Paris 12e,Paris,75112
kYR50,Institut polytechnique de Paris,École,public,2.21022,48.71317,Palaiseau,Paris,91477
1v4lV,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt,École,public,2.320699,48.878516,Paris 8e,Paris,75108
gdal8,TBS Education,École,privé,1.429964,43.610775,Toulouse,Toulouse,31555
hlX1r,Université de Poitiers,Université,public,0.34601,46.58596,Poitiers,Poitiers,86194
C701f,Université de Toulon,Université,public,6.01684,43.1369,La Garde,Toulon,83062
6Jl2q,École spéciale d'architecture,École,privé,2.330967,48.837534,Paris 14e,Paris,75114
91D9w,Université de Rennes,Université,public,-1.636424,48.114339,Rennes,Rennes,35238
xJdyB,Aix-Marseille Université,Université,public,5.35781,43.2935,Marseille 7e,Marseille,13207
8QDvM,École d'ingénieurs des sciences aérospatiales,École,privé,-0.777097,44.800616,Saint-Jean-d'Illac,Bordeaux,33422
1UWns,École d'ingénieurs en génie des systèmes industriels,École,privé,-1.15462,46.13977,La Rochelle,La Rochelle,17300
bgFFu,École du Louvre,École,public,2.33094,48.86091,Paris 1er,Paris,75101
44xxV,École des ponts ParisTech,Grand établissement,public,2.58822,48.8411,Champs-sur-Marne,Paris,77083
5Ic1n,École nationale supérieure d'architecture de Paris-Malaquais,École,public,2.3335433006286626,48.85669993265381,Paris 6e,Paris,75106
1H1nG,École nationale supérieure d'architecture de Toulouse,École,public,1.397345,43.579717,Toulouse,Toulouse,31555
Rnid8,École nationale supérieure des arts décoratifs,École,public,2.34466,48.84278,Paris 5e,Paris,75105
fHgMV,École supérieure angevine en informatique et productique,École,privé,-0.49745321273803716,47.46355710615347,Saint-Barthélemy-d'Anjou,Angers,49267
UKEsZ,Facultés Libres de Philosophie et de Psychologie,École,privé,2.33569,48.838,Paris 14e,Paris,75114
ab5z5,Institut national des sciences appliquées de Strasbourg,École,public,7.764893,48.582266,Strasbourg,Strasbourg,67482
hy4EW,Université de Guyane,Université,public,-52.30102,4.93174,Cayenne,Cayenne,97302
evv7S,Université de Montpellier,Université,public,3.87347,43.61494,Montpellier,Montpellier,34172
vH695,Centre des hautes études de la construction,École,privé,2.327309846878052,48.800733327820986,Arcueil,Paris,94003
CdULA,École supérieure de chimie physique électronique de Lyon,École,privé,4.868928,45.78415,Villeurbanne,Lyon,69266
MuSey,École supérieure d'électronique de l'Ouest,École,privé,-0.550804,47.493396,Angers,Angers,49007
Dk1Th,Institut national des langues et civilisations orientales,Grand établissement,public,2.376024127006531,48.82725533443922,Paris 13e,Paris,75113
n2vXC,Institut supérieur d’agriculture Rhône-Alpes,École,privé,4.836377,45.727895,Lyon 7e,Lyon,69387
7Mpgt,Université de Franche-Comté,Université,public,6.022701859474183,47.24064863864678,Besançon,Besançon,25056
tIJ02,Université de Saint-Étienne,Université,public,4.39264,45.42472,Saint-Étienne,Saint-Étienne,42218
cqyN7,Université Paris 13,Université,public,2.34071,48.95793,Villetaneuse,Paris,93079
U8a0v,Université de Lille,Université,public,3.07526,50.631794,Lille,Lille,59350
0Mvk5,Collège de France,Grand établissement,public,2.34534,48.84879,Paris 5e,Paris,75105
fWJJA,École centrale lyonnaise,École,public,4.76927,45.78299,Écully,Lyon,69081
0347i,École supérieure d'ingénieurs des travaux de la construction de Metz,École,privé,6.21616,49.10042,Metz,Metz,57463
khs4b,École supérieure des travaux publics de Cachan,École,privé,2.3256,48.80497,Arcueil,Paris,94003
dxA6r,Institut européen d'administration des affaires,École,privé,2.68529,48.4054,Fontainebleau,Fontainebleau,77186
a2a9U,Institut national supérieur de formation et de recherche pour l'éducation inclusive,École,public,2.21315,48.86853,Suresnes,Paris,92073
f2wCi,Institut polytechnique des sciences avancées,École,privé,2.393909,48.814007,Ivry-sur-Seine,Paris,94041
BmNtV,Institut polytechnique UniLaSalle,École,privé,2.06792,49.45971,Beauvais,Beauvais,60057
VAP7f,Institut supérieur d'électronique de Paris,École,privé,2.32804,48.84531,Paris 6e,Paris,75106
5HerM,Montpellier Business School,École,privé,3.833542,43.621491,Montpellier,Montpellier,34172
etBz7,Université Claude Bernard - Lyon 1,Université,public,4.86518,45.77962,Villeurbanne,Lyon,69266
K4lR3,Université Clermont Auvergne,Université,public,3.08791,45.77056,Clermont-Ferrand,Clermont-Ferrand,63113
ZCW24,Conservatoire national supérieur de musique et de danse de Paris,École,public,2.39076,48.88882,Paris 19e,Paris,75119
I4SPK,Institut des sciences de la matière et du rayonnement,École,public,-0.36735,49.21467,Caen,Caen,14118
13fXQ,École nationale supérieure Louis Lumière,École,public,2.335657,48.922189,Saint-Denis,Paris,93066
wkykl,École nationale vétérinaire de Toulouse,École,public,1.3819,43.6004,Toulouse,Toulouse,31555
tJRnj,"École spéciale des travaux publics, du bâtiment et de l'industrie",École,privé,2.328532934188843,48.79422078629043,Cachan,Paris,94016
4C5vX,École supérieure d'informatique électronique automatique,École,privé,2.352616,48.83788,Paris 5e,Paris,75105
J36yt,Institut catholique de Paris,École,privé,2.32936,48.8483,Paris 6e,Paris,75106
EM3xY,Institut régional du travail social de Champagne-Ardennes,École,privé,4.002474,49.231082,Reims,Reims,51454
XqK4j,Institut Sup'Biotech de Paris,École,privé,2.35715,48.798078,Villejuif,Paris,94076
bxPQe,Sorbonne Université,Université,public,2.3403829336166386,48.85114773764701,Paris 6e,Paris,75106
nkbwh,Université de Limoges,Université,public,1.25853,45.82604,Limoges,Limoges,87085
8tVLr,Université de technologie de Troyes,École,public,4.06794,48.26834,Troyes,Troyes,10387
8k883,Université Sorbonne Nouvelle - Paris 3,Université,public,2.39701509475708,48.844881806752355,Paris 12e,Paris,75112
3xQrL,École nationale supérieure d'arts de Paris-Cergy,École,public,2.07795,49.03643,Cergy,Paris,95127
59da6,École nationale supérieure des sciences de l'information et des bibliothèques,Grand établissement,public,4.86229,45.7803,Villeurbanne,Lyon,69266
LllIv,École nationale vétérinaire d'Alfort,École,public,2.42152,48.81474,Maisons-Alfort,Paris,94046
x2D1F,École supérieure d’agriculture,École,privé,-0.543657,47.458784,Angers,Angers,49007
38wo2,École supérieure d'art et de design de Reims,École,public,4.029733,49.252304,Reims,Reims,51454
k94mT,Institut national des sciences et techniques nucléaires,École,public,2.153444,48.723847,Gif-sur-Yvette,Paris,91272
eUjTI,Institut supérieur de l'électronique et du numérique de Brest,École,privé,-4.495576,48.407023,Brest,Brest,29019
42F7G,IPAG Business School,École,privé,2.331248,48.85497,Paris 6e,Paris,75106
VaJ52,Muséum national d'histoire naturelle,Grand établissement,public,2.35616,48.84202,Paris 5e,Paris,75105
vxHYt,Université d'Avignon et des pays de Vaucluse,Université,public,4.81789,43.95005,Avignon,Avignon,84007
zHvr4,École nationale supérieure des arts et techniques du théâtre,École,public,4.81132,45.75331,Lyon 5e,Lyon,69385
BWbvP,Université d'Artois,Université,public,2.79112,50.2847,Arras,Arras,62041
5tVy4,Université Bretagne Sud,Université,public,-3.39072,47.74618,Lorient,Lorient,56121
m7K6T,Université Toulouse III - Paul Sabatier,Université,public,1.46597,43.56287,Toulouse,Toulouse,31555
yH19Y,Université du Littoral Côte d’Opale,Université,public,2.37183,51.039,Dunkerque,Dunkerque,59183
vb71K,Université Paris-Est Créteil,Université,public,2.4437,48.78852,Créteil,Paris,94028
WadM1,Groupe École Supérieure de Commerce de Troyes,École,privé,4.07982,48.28417,Troyes,Troyes,10387
11v7N,Brest Business School,École,privé,-4.5215645694,48.4059433199,Brest,Brest,29019
QHKrf,École spéciale militaire de Saint-Cyr,École,public,-2.152742,47.94619,Guer,Guer,56075
HjtSP,École supérieure de fonderie et de forge,École,privé,2.224391,48.822532,Sèvres,Paris,92072
cZd69,Groupe Institut catholique d'arts et métiers,École,privé,2.328815,48.87961,Paris 9e,Paris,75109
z8973,ISMANS,École,privé,0.157589,48.019687,Le Mans,Le Mans,72181
2bx2x,"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire",École,privé,2.141886,48.817017,Versailles,Paris,78646
hh87F,KEDGE Business School,École,privé,-0.600218,44.79622,Talence,Bordeaux,33522
zepT6,Université de la Polynésie Française,Université,public,-149.60684,-17.57685,Punaauia,Punaauia,98738
g6rwB,Université Paris Nanterre,Université,public,2.213155031204224,48.90329925253182,Nanterre,Paris,92050
ti37C,Université Rennes 2,Université,public,-1.70333,48.12064,Rennes,Rennes,35238
2rXuC,École des hautes études commerciales de Paris,École,privé,2.16757,48.75673,Jouy-en-Josas,Paris,78322
5YWUA,École supérieure des sciences économiques et commerciales,École,privé,2.078427,49.03397,Cergy,Paris,95127
3Ur31,École supérieure des techniques aéronautiques et de construction automobile,École,privé,2.041412,48.787656,Montigny-le-Bretonneux,Paris,78423
u79ZJ,Sciences Po,Grand établissement,public,2.32842,48.85412,Paris 7e,Paris,75107
nhwFO,Neoma Business School,École,privé,1.063824,49.4631,Mont-Saint-Aignan,Rouen,76451
G2qA7,Université Paris-Saclay,Université,public,2.170077,48.709629,Gif-sur-Yvette,Paris,91272
6Th4v,"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school",Grand établissement,public,2.19972,48.7132,Palaiseau,Paris,91477
YPOQX,École nationale du génie de l'eau et de l'environnement de Strasbourg,École,public,7.758744,48.580797,Strasbourg,Strasbourg,67482
XBZhH,École nationale supérieure des métiers de l'image et du son,École,public,2.34257,48.89055,Paris 18e,Paris,75118
qjZCR,École pour l'informatique et les techniques avancées,École,privé,2.362943,48.815598,Le Kremlin-Bicêtre,Paris,94043
5cuYU,Vet Agro Sup,Grand établissement,public,4.711171388626099,45.793314788437215,Marcy-l'Étoile,Lyon,69127
QYw7j,Institut national des sciences appliquées Centre Val de Loire,École,public,2.416074872016907,47.0821667774133,Bourges,Bourges,18033
24vIz,Institut national du patrimoine,École,public,2.33907,48.86661,Paris 2e,Paris,75102
2Nnrv,Institut supérieur de l'aéronautique et de l'espace,Grand établissement,public,1.47408,43.5656,Toulouse,Toulouse,31555
4k25D,Université de Strasbourg,Université,public,7.76465,48.57872,Strasbourg,Strasbourg,67482
EW53M,Université Polytechnique Hauts-de-France,Université,public,3.51056,50.32622,Aulnoy-lez-Valenciennes,Valenciennes,59032
NV3O7,École catholique des arts et métiers,École,privé,4.82518,45.76391,Lyon 5e,Lyon,69385
Y0wtS,École de management Léonard De Vinci,École,privé,2.2359,48.8962,Courbevoie,Paris,92026
fZmTP,Burgundy School of Business,École,privé,5.04142,47.32806,Dijon,Dijon,21231
5cZyU,Université de Paris,Université,public,2.340105,48.851906,Paris 6e,Paris,75106
Mz286,Université de Pau et des Pays de l'Adour,Université,public,-0.36509,43.31372,Pau,Pau,64445
H3nOd,Université de Technologie de Compiègne,École,public,2.800108,49.40024,Compiègne,Compiègne,60159
vLcx0,Centre national des arts du cirque,École,privé,4.36256,48.95119,Châlons-en-Champagne,Châlons-en-Champagne,51108
dPmxa,École nationale d'ingénieurs de Brest,École,public,-4.56558,48.3607,Plouzané,Brest,29212
gFP1V,Excelia Group,École,privé,-1.15616,46.14069,La Rochelle,La Rochelle,17300
pgd9B,Institut catholique de Lille,École,privé,3.0467104911804204,50.6330901906103,Lille,Lille,59350
3F8N1,Institut d'ingénierie informatique de Limoges,École,privé,1.2718766927719118,45.81879933351791,Limoges,Limoges,87085
TeXD3,Institut national des sciences appliquées de Rouen Normandie,École,public,1.06839,49.3852,Saint-Étienne-du-Rouvray,Rouen,76575
Lr94O,Université de Bourgogne,Université,public,5.06637,47.31274,Dijon,Dijon,21231
PVnB4,Université de technologie de Belfort-Montbéliard,École,public,6.86586,47.5871,Sevenans,Sevenans,90094
RS4WF,CY Cergy Paris Université,Université,public,2.07415,49.03889,Cergy,Paris,95127
2CPf2,ECAM Rennes Louis de Broglie,École,privé,-1.74357,48.04692,Bruz,Rennes,35047
jYUcF,Arts et Métiers Sciences et Technologies,Grand établissement,public,2.35831,48.83357,Paris 13e,Paris,75113
cWx2t,École nationale supérieure de mécanique et des microtechniques,École,public,5.99307,47.25112,Besançon,Besançon,25056
42Fay,École supérieure d'art et de design d'Amiens,École,public,2.29326,49.90229,Amiens,Amiens,80021
977ni,ICN Business School,École,privé,6.17029,48.67419,Nancy,Nancy,54395
64Dyl,Institut catholique de Toulouse,École,privé,1.44233,43.59529,Toulouse,Toulouse,31555
